Player,Tm,Age,MP,WA_z,bucket,salary_25,years,npv,tier,multiplier,npv_effective
James Harden,2TM,36,2438.0,1.9839577315454218,max,39182693.0,2,-60594815.131373785,,1.0,-60594815.131373785
CJ McCollum,2TM,34,2264.0,0.05839696062275269,open_negotiation,30666666.0,1,-28129040.12546163,,1.0,-28129040.12546163
Ayo Dosunmu,2TM,26,1881.0,0.5480020030587213,open_negotiation,7518518.0,1,-2957377.656297324,,1.0,-2957377.656297324
Nikola VuÄeviÄ,2TM,35,1818.0,0.5545738828229626,open_negotiation,21481481.0,1,-16893179.38825485,,1.0,-16893179.38825485
Dennis SchrÃ¶der,2TM,32,1697.0,-0.6760106030312003,open_negotiation,14104000.0,3,-42833155.89391339,,1.0,-42833155.89391339
Luke Kennard,2TM,29,1681.0,0.2604822633731692,open_negotiation,11000000.0,1,-7627165.133155558,,1.0,-7627165.133155558
Bennedict Mathurin,2TM,23,1620.0,-0.6217925949762105,rookie_scale,9187573.0,1,-9461138.367857683,,1.0,-9461138.367857683
Collin Sexton,2TM,27,1614.0,0.25062444372680764,open_negotiation,18975000.0,1,-15642907.035219269,,1.0,-15642907.035219269
Kevin Huerter,2TM,27,1549.0,-0.20119229006477435,open_negotiation,17991071.0,1,-16526315.213139351,,1.0,-16526315.213139351
Jock Landale,2TM,30,1506.0,0.056753990681692276,min,2296274.0,1,234561.55752774933,,1.0,234561.55752774933
Keon Ellis,2TM,26,1478.0,-0.25048138829658323,min,2301587.0,1,-1040540.7234579064,,1.0,-1040540.7234579064
Jaren Jackson Jr.,2TM,26,1454.0,-0.4262791719900351,open_negotiation,35000000.0,5,-213585185.57608736,,1.0,-213585185.57608736
Ivica Zubac,2TM,28,1446.0,0.07811259991547627,open_negotiation,18893980.0,3,-50583044.529544346,,1.0,-50583044.529544346
Khris Middleton,2TM,34,1439.0,-1.2280485032274604,open_negotiation,33296296.0,1,-36075488.3447759,,1.0,-36075488.3447759
Walter Clayton,2TM,22,1410.0,-1.1836883148188324,rookie_scale,3991320.0,4,-28585175.32560064,,1.0,-28585175.32560064
VÃ­t KrejÄÃ­,2TM,25,1392.0,-0.35727443446550267,min,2349578.0,3,-5258995.382628506,,1.0,-5258995.382628506
Anfernee Simons,2TM,26,1372.0,-0.09111330401373442,open_negotiation,27678571.0,1,-25758863.973427914,,1.0,-25758863.973427914
Jose Alvarado,2TM,27,1370.0,-0.38356195352246736,open_negotiation,4500000.0,2,-7351761.517975323,,1.0,-7351761.517975323
Darius Garland,2TM,26,1344.0,-0.18476259065417128,max,39446090.0,3,-115900961.27300578,,1.0,-115900961.27300578
Coby White,2TM,25,1249.0,-0.4607815407523014,open_negotiation,12888889.0,1,-12497003.300817072,,1.0,-12497003.300817072
Marvin Bagley III,2TM,26,1201.0,0.10111417909032039,min,2296274.0,1,417900.1168144485,,1.0,417900.1168144485
De'Andre Hunter,2TM,28,1176.0,-0.9635303427167524,open_negotiation,23303571.0,2,-50161654.92668242,,1.0,-50161654.92668242
Jared McCain,2TM,21,1160.0,-0.6760106030312003,rookie_scale,4221360.0,3,-16671220.687179815,,1.0,-16671220.687179815
Taylor Hendricks,2TM,22,1118.0,-0.7417294006736123,rookie_scale,6127080.0,2,-15225353.625136739,,1.0,-15225353.625136739
John Konchar,2TM,29,1115.0,-0.1289016126581212,open_negotiation,6165000.0,2,-8565771.952316817,,1.0,-8565771.952316817
Ousmane Dieng,2TM,22,1099.0,-1.0506077495929482,rookie_scale,6670882.0,1,-8716720.107629107,,1.0,-8716720.107629107
