Tm,payroll_m,tier,repeater,multiplier,pritchard_effective_npv_m
GSW,208.8,second_apron,Yes,7.2,379.30368875800747
CLE,217.4,second_apron,No,5.6000000000000005,295.01398014511693
NYK,211.4,second_apron,No,5.6000000000000005,295.01398014511693
LAL,197.1,first_apron,Yes,4.55,239.69885886790746
HOU,199.8,first_apron,No,3.25,171.2134706199339
MIN,198.5,first_apron,No,3.25,171.2134706199339
PHI,196.9,first_apron,No,3.25,171.2134706199339
LAC,191.9,taxpayer,Yes,3.0,158.04320364916978
SAC,193.3,above_cap_below_tax,No,1.0,52.68106788305659
TOR,191.6,above_cap_below_tax,No,1.0,52.68106788305659
DEN,191.6,above_cap_below_tax,No,1.0,52.68106788305659
NOP,190.9,above_cap_below_tax,No,1.0,52.68106788305659
PHO,190.5,above_cap_below_tax,No,1.0,52.68106788305659
OKC,190.3,above_cap_below_tax,No,1.0,52.68106788305659
BOS,190.1,above_cap_below_tax,No,1.0,52.68106788305659
WAS,189.9,above_cap_below_tax,No,1.0,52.68106788305659
ORL,189.9,above_cap_below_tax,No,1.0,52.68106788305659
POR,189.2,above_cap_below_tax,No,1.0,52.68106788305659
IND,188.7,above_cap_below_tax,No,1.0,52.68106788305659
MIA,188.3,above_cap_below_tax,No,1.0,52.68106788305659
CHO,188.0,above_cap_below_tax,No,1.0,52.68106788305659
DET,188.0,above_cap_below_tax,No,1.0,52.68106788305659
SAS,187.5,above_cap_below_tax,No,1.0,52.68106788305659
DAL,187.3,above_cap_below_tax,No,1.0,52.68106788305659
ATL,187.0,above_cap_below_tax,No,1.0,52.68106788305659
MIL,184.7,above_cap_below_tax,No,1.0,52.68106788305659
CHI,184.5,above_cap_below_tax,No,1.0,52.68106788305659
UTA,175.8,above_cap_below_tax,No,1.0,52.68106788305659
MEM,161.1,above_cap_below_tax,No,1.0,52.68106788305659
BRK,152.1,below_cap,No,0.5,26.340533941528296
