Player,Tm,tier,Age,MP,WA,2025-26,expected_salary,surplus_naive,bucket
Victor Wembanyama,SAS,above_cap_below_tax,22.0,1866.0,9.076995833333331,13376880.0,48841141.56173658,35464261.56173658,rookie_scale
Jalen Duren,DET,above_cap_below_tax,22.0,1976.0,6.685833333333334,6483144.0,36579778.449463375,30096634.44946337,rookie_scale
Shai Gilgeous-Alexander,OKC,above_cap_below_tax,27.0,2259.0,12.622347916666667,38333050.0,67020938.7334488,28687888.733448803,max
Neemias Queta,BOS,above_cap_below_tax,26.0,1926.0,4.8111500000000005,2349578.0,26966808.57789392,24617230.57789392,min
Amen Thompson,HOU,first_apron,23.0,2953.0,6.006254166666667,9690600.0,33095043.754085697,23404443.754085697,rookie_scale
Collin Gillespie,PHO,above_cap_below_tax,26.0,2282.0,4.003020833333333,2296274.0,22822897.340527672,20526623.340527672,min
Donovan Clingan,POR,above_cap_below_tax,21.0,2094.0,4.911208333333334,7178400.0,27479886.0276318,20301486.0276318,rookie_scale
Payton Pritchard,BOS,above_cap_below_tax,28.0,2556.0,4.868941666666667,7232143.0,27263151.72055505,20031008.72055505,open_negotiation
Nikola JokiÄ,DEN,above_cap_below_tax,30.0,2265.0,14.063895833333332,55224526.0,74412884.05292875,19188358.052928746,max
Moussa DiabatÃ©,CHO,above_cap_below_tax,24.0,1899.0,3.671972916666667,2270735.0,21125355.36510293,18854620.36510293,min
Sandro Mamukelashvili,TOR,above_cap_below_tax,26.0,1751.0,3.685941666666667,2461463.0,21196984.08794154,18735521.08794154,min
Kon Knueppel,CHO,above_cap_below_tax,20.0,2551.0,5.039275,10015680.0,28136584.141029973,18120904.141029973,rookie_scale
Chet Holmgren,OKC,above_cap_below_tax,23.0,1997.0,5.639304166666666,13731368.0,31213403.6756516,17482035.675651602,open_negotiation
Julian Champagnie,SAS,above_cap_below_tax,24.0,2266.0,3.294825,3000000.0,19191422.57998801,16191422.57998801,min
Cam Spencer,MEM,above_cap_below_tax,25.0,1714.0,3.0736916666666665,2537989.0,18057498.768357743,15519509.768357746,min
Kel'el Ware,MIA,above_cap_below_tax,21.0,1704.0,3.337616666666667,4443360.0,19410848.97329225,14967488.973292254,rookie_scale
Deni Avdija,POR,above_cap_below_tax,25.0,2199.0,5.27294375,14375000.0,29334786.85278252,14959786.852782514,open_negotiation
Ryan Kalkbrenner,CHO,above_cap_below_tax,24.0,1479.0,2.8658291666666664,2296274.0,16991624.91414462,14695350.91414462,min
Luka Garza,BOS,above_cap_below_tax,27.0,1118.0,2.6697666666666664,2461463.0,15986258.902758917,13524795.902758917,min
Javonte Green,DET,above_cap_below_tax,32.0,1446.0,2.636029166666667,2296274.0,15813260.313997043,13516986.313997043,min
