Player,Tm,tier,Age,years_remaining,WA,2025-26,surplus_npv_naive,surplus_npv_effective,bucket
Amen Thompson,HOU,first_apron,23.0,2,6.006254166666667,9690600.0,44174942.660462126,143568563.6465019,rookie_scale
Brandin Podziemski,GSW,second_apron,22.0,2,2.220820833333333,3687960.0,18222261.050082203,131200279.56059188,rookie_scale
Reed Sheppard,HOU,first_apron,21.0,3,3.88691875,10603560.0,34356058.05184813,111657188.66850644,rookie_scale
Jaylon Tyson,CLE,second_apron,23.0,3,1.6666520833333334,3492480.0,19574352.78508974,109616375.59650254,rookie_scale
Craig Porter Jr.,CLE,second_apron,25.0,2,1.7638333333333334,2221677.0,17628316.897214286,98718574.6244,min
Kon Knueppel,CHO,above_cap_below_tax,20.0,4,5.039275,10015680.0,79103378.724388,79103378.724388,rookie_scale
Victor Wembanyama,SAS,above_cap_below_tax,22.0,2,9.076995833333331,13376880.0,68377324.40563497,68377324.40563497,rookie_scale
Will Richard,GSW,second_apron,23.0,4,0.4277479166666666,1272870.0,9010935.787967231,64878737.67336407,rookie_scale
Donovan Clingan,POR,above_cap_below_tax,21.0,3,4.911208333333334,7178400.0,61534915.49889822,61534915.49889822,rookie_scale
Miles McBride,NYK,second_apron,25.0,2,1.4430000000000005,4333333.0,10828181.268047623,60637815.10106671,open_negotiation
Cam Spencer,MEM,above_cap_below_tax,25.0,4,3.0736916666666665,2537989.0,56891988.58362696,56891988.58362696,min
Ryan Kalkbrenner,CHO,above_cap_below_tax,24.0,4,2.8658291666666664,2296274.0,54704396.56074875,54704396.56074875,min
Payton Pritchard,BOS,above_cap_below_tax,28.0,3,4.868941666666667,7232143.0,52681067.88305659,52681067.88305659,open_negotiation
Austin Reaves,LAL,first_apron,27.0,2,3.4917166666666666,13937574.0,10796498.427722871,49124067.84613906,open_negotiation
Jordan Miller,LAC,taxpayer,26.0,2,1.4830208333333337,712637.0,16166364.996511908,48499094.98953572,min
Neemias Queta,BOS,above_cap_below_tax,26.0,2,4.8111500000000005,2349578.0,47524046.17916,47524046.17916,min
Deni Avdija,POR,above_cap_below_tax,25.0,3,5.27294375,14375000.0,45988968.8089711,45988968.8089711,open_negotiation
Kel'el Ware,MIA,above_cap_below_tax,21.0,3,3.337616666666667,4443360.0,44205643.82631087,44205643.82631087,rookie_scale
Luke Kornet,SAS,above_cap_below_tax,30.0,4,3.9319166666666665,11000000.0,37348003.26503948,37348003.26503948,open_negotiation
Ajay Mitchell,OKC,above_cap_below_tax,23.0,3,2.5914229166666662,3000000.0,37297249.94156141,37297249.94156141,rookie_scale
