Player,Tm,tier,Age,years_remaining,WA,2025-26,surplus_npv_naive,surplus_npv_effective,bucket
Kon Knueppel,CHO,above_cap_below_tax,20.0,4,5.039275,10015680.0,79103378.724388,79103378.724388,rookie_scale
Victor Wembanyama,SAS,above_cap_below_tax,22.0,2,9.076995833333331,13376880.0,68377324.40563497,68377324.40563497,rookie_scale
Donovan Clingan,POR,above_cap_below_tax,21.0,3,4.911208333333334,7178400.0,61534915.49889822,61534915.49889822,rookie_scale
Cam Spencer,MEM,above_cap_below_tax,25.0,4,3.0736916666666665,2537989.0,56891988.58362696,56891988.58362696,min
Ryan Kalkbrenner,CHO,above_cap_below_tax,24.0,4,2.8658291666666664,2296274.0,54704396.56074875,54704396.56074875,min
Payton Pritchard,BOS,above_cap_below_tax,28.0,3,4.868941666666667,7232143.0,52681067.88305659,52681067.88305659,open_negotiation
Neemias Queta,BOS,above_cap_below_tax,26.0,2,4.8111500000000005,2349578.0,47524046.17916,47524046.17916,min
Deni Avdija,POR,above_cap_below_tax,25.0,3,5.27294375,14375000.0,45988968.8089711,45988968.8089711,open_negotiation
Kel'el Ware,MIA,above_cap_below_tax,21.0,3,3.337616666666667,4443360.0,44205643.82631087,44205643.82631087,rookie_scale
Amen Thompson,HOU,first_apron,23.0,2,6.006254166666667,9690600.0,44174942.660462126,143568563.6465019,rookie_scale
Luke Kornet,SAS,above_cap_below_tax,30.0,4,3.9319166666666665,11000000.0,37348003.26503948,37348003.26503948,open_negotiation
Ajay Mitchell,OKC,above_cap_below_tax,23.0,3,2.5914229166666662,3000000.0,37297249.94156141,37297249.94156141,rookie_scale
Moussa DiabatÃ©,CHO,above_cap_below_tax,24.0,2,3.671972916666667,2270735.0,36995723.339888506,36995723.339888506,min
Sandro Mamukelashvili,TOR,above_cap_below_tax,26.0,2,3.685941666666667,2461463.0,36075167.56699334,36075167.56699334,min
Reed Sheppard,HOU,first_apron,21.0,3,3.88691875,10603560.0,34356058.05184813,111657188.66850644,rookie_scale
Julian Champagnie,SAS,above_cap_below_tax,24.0,2,3.294825,3000000.0,31940203.103028446,31940203.103028446,min
Nikola JokiÄ,DEN,above_cap_below_tax,30.0,3,14.063895833333332,55224526.0,29820236.67130713,29820236.67130713,max
Oso Ighodaro,PHO,above_cap_below_tax,23.0,3,1.900566666666667,1955377.0,28793195.088423528,28793195.088423528,rookie_scale
Stephon Castle,SAS,above_cap_below_tax,21.0,3,3.3260375,9560520.0,28779301.364628755,28779301.364628755,rookie_scale
Luka Garza,BOS,above_cap_below_tax,27.0,2,2.6697666666666664,2461463.0,25686760.95914992,25686760.95914992,min
