Player,Tm,tier,Age,years_remaining,WA,2025-26,surplus_npv_naive,surplus_npv_effective,bucket
Payton Pritchard,BOS,above_cap_below_tax,28.0,3,4.868941666666667,7232143.0,52681067.88305659,52681067.88305659,open_negotiation
Deni Avdija,POR,above_cap_below_tax,25.0,3,5.27294375,14375000.0,45988968.8089711,45988968.8089711,open_negotiation
Luke Kornet,SAS,above_cap_below_tax,30.0,4,3.9319166666666665,11000000.0,37348003.26503948,37348003.26503948,open_negotiation
Tre Jones,CHI,above_cap_below_tax,26.0,3,2.82705,8000000.0,24478134.6633336,24478134.6633336,open_negotiation
Isaiah Joe,OKC,above_cap_below_tax,26.0,3,3.1064062500000005,12362338.0,17967393.18805924,17967393.18805924,open_negotiation
Saddiq Bey,NOP,above_cap_below_tax,26.0,2,2.477229166666667,6118644.0,16910097.581135716,16910097.581135716,open_negotiation
Nickeil Alexander-Walker,ATL,above_cap_below_tax,27.0,4,3.3856750000000004,15161800.0,13372624.889394067,13372624.889394067,open_negotiation
Jaime Jaquez Jr.,MIA,above_cap_below_tax,24.0,2,1.806435416666667,3861600.0,13230237.88352552,13230237.88352552,open_negotiation
Kevin Porter Jr.,MIL,above_cap_below_tax,25.0,2,1.8631854166666664,5134000.0,12868269.748699104,12868269.748699104,open_negotiation
Miles McBride,NYK,second_apron,25.0,2,1.4430000000000005,4333333.0,10828181.268047623,60637815.10106671,open_negotiation
Austin Reaves,LAL,first_apron,27.0,2,3.4917166666666666,13937574.0,10796498.427722871,49124067.84613906,open_negotiation
Jalen Johnson,ATL,above_cap_below_tax,24.0,5,5.827283333333334,30000000.0,10793575.640727729,10793575.640727729,open_negotiation
Day'Ron Sharpe,BRK,below_cap,24.0,2,1.8045,6250000.0,10526212.59599757,5263106.297998785,open_negotiation
Tristan Da Silva,ORL,above_cap_below_tax,24.0,3,1.1196958333333331,3809520.0,10022901.81664406,10022901.81664406,open_negotiation
Sam Hauser,BOS,above_cap_below_tax,28.0,4,2.317575,10044644.0,8006387.75697583,8006387.75697583,open_negotiation
Donte DiVincenzo,MIN,first_apron,29.0,2,2.6741000000000006,11990000.0,6616811.866739962,21504638.56690488,open_negotiation
Daniss Jenkins,DET,above_cap_below_tax,24.0,2,0.9423645833333332,3809524.0,6392450.381004706,6392450.381004706,open_negotiation
Royce O'Neale,PHO,above_cap_below_tax,32.0,3,2.3237895833333333,10125000.0,5902251.416973534,5902251.416973534,open_negotiation
Kris Dunn,LAC,taxpayer,31.0,2,1.1988333333333332,5426400.0,5138734.13536537,15416202.406096108,open_negotiation
John Konchar,2TM,above_cap_below_tax,29.0,2,1.254822916666667,6165000.0,4676242.884567419,4676242.884567419,open_negotiation
