Player,Tm,tier,bucket,Age,years,WA_z,salary_25,npv,npv_effective
Devin Booker,PHO,above_cap_below_tax,max,29,5,1.21,53.1,-244.7,-244.7
Jaren Jackson Jr.,2TM,,open_negotiation,26,5,-0.43,35.0,-213.6,-213.6
Joel Embiid,PHI,above_cap_below_tax,max,31,4,0.73,55.2,-207.5,-207.5
Evan Mobley,CLE,second_apron,max,24,5,1.34,46.4,-207.2,-642.2
De'Aaron Fox,SAS,above_cap_below_tax,max,28,5,1.24,37.1,-202.6,-202.6
Shai Gilgeous-Alexander,OKC,above_cap_below_tax,max,27,6,5.08,38.3,-194.3,-194.3
Paolo Banchero,ORL,above_cap_below_tax,open_negotiation,23,6,0.87,15.3,-190.2,-190.2
Franz Wagner,ORL,above_cap_below_tax,max,24,5,0.11,38.7,-189.9,-189.9
Jaylen Brown,BOS,first_apron,max,29,4,1.72,53.1,-186.3,-428.5
Cade Cunningham,DET,above_cap_below_tax,max,24,5,2.46,46.4,-186.0,-186.0
