Tm,tier,repeater,multiplier,pritchard_effective_npv_m
CLE,second_apron,No,3.1,13.3
GSW,first_apron,Yes,2.8,12.0
LAL,first_apron,Yes,2.8,12.0
NYK,first_apron,No,2.3,9.9
HOU,first_apron,No,2.3,9.9
MIN,first_apron,No,2.3,9.9
BOS,first_apron,No,2.3,9.9
LAC,taxpayer,Yes,2.0,8.6
SAC,above_cap_below_tax,No,1.0,4.3
PHI,above_cap_below_tax,No,1.0,4.3
DEN,above_cap_below_tax,No,1.0,4.3
NOP,above_cap_below_tax,No,1.0,4.3
PHO,above_cap_below_tax,No,1.0,4.3
TOR,above_cap_below_tax,No,1.0,4.3
OKC,above_cap_below_tax,No,1.0,4.3
WAS,above_cap_below_tax,No,1.0,4.3
ORL,above_cap_below_tax,No,1.0,4.3
POR,above_cap_below_tax,No,1.0,4.3
IND,above_cap_below_tax,No,1.0,4.3
MIA,above_cap_below_tax,No,1.0,4.3
CHO,above_cap_below_tax,No,1.0,4.3
DET,above_cap_below_tax,No,1.0,4.3
SAS,above_cap_below_tax,No,1.0,4.3
DAL,above_cap_below_tax,No,1.0,4.3
ATL,above_cap_below_tax,No,1.0,4.3
MIL,above_cap_below_tax,No,1.0,4.3
CHI,above_cap_below_tax,No,1.0,4.3
UTA,above_cap_below_tax,No,1.0,4.3
MEM,above_cap_below_tax,No,1.0,4.3
BRK,below_cap,No,0.5,2.2
